feature,value,shap_value,abs_shap
V14,-7.27986921938704,10.832530945744793,10.832530945744793
V4,4.24306897383907,5.116698138347536,5.116698138347536
V10,-6.13490688724113,4.915123220315021,4.915123220315021
V12,-6.30984277729399,4.263377552635339,4.263377552635339
Amount,99.99,3.123963658641407,3.123963658641407
V7,-8.05801194656602,2.2789953758496386,2.2789953758496386
V3,-12.3540368689178,1.2535588101864408,1.2535588101864408
V17,-7.17167241498026,1.0295446184411148,1.0295446184411148
V8,6.44290866379074,-0.8472943364553245,0.8472943364553245
V11,2.82667122820047,0.8168943500289718,0.8168943500289718
V27,1.1596904600617,-0.7224396294394415,0.7224396294394415
V16,-4.21553713481175,0.71442530789785,0.71442530789785
V20,0.816651661759946,-0.505430717188265,0.505430717188265
Time,50808.0,0.3668177652058745,0.3668177652058745
V18,-2.55033668458713,-0.34303363747558213,0.34303363747558213
V6,-3.38661804868541,-0.32425517376858576,0.32425517376858576
V24,-0.039383059739641,-0.3209790815166182,0.3209790815166182
V21,0.926156961108813,0.3095683176043428,0.3095683176043428
V26,-0.264324608977439,-0.26578647293868324,0.26578647293868324
V28,0.232758088392131,-0.23408960204825094,0.23408960204825094
V15,0.924233225976226,-0.21941489689152235,0.21941489689152235
V5,-7.1764377547738,-0.2177234426767983,0.2177234426767983
V22,-0.817706132334589,-0.18464373657849553,0.18464373657849553
V25,0.485639753958673,0.1458022293276008,0.1458022293276008
V1,-9.16978982388629,0.10669100128662357,0.10669100128662357
V23,-0.150434415715838,-0.0916842353664521,0.0916842353664521
V2,7.09219680097303,-0.04206568016040511,0.04206568016040511
V9,-2.41298660229065,-0.026316730357114747,0.026316730357114747
V19,0.596364320528384,-0.025807296614180405,0.025807296614180405
V13,-0.623002385785158,0.022613741544496527,0.022613741544496527
