feature,mean_abs_shap
V4,0.7985344635875321
V12,0.4907225274361514
V14,0.4629517764206363
V3,0.355490937802571
V5,0.3130542869479607
V15,0.26937469644138967
V8,0.2678307718677454
V22,0.2654481971493063
V11,0.2570761855722674
V26,0.24677994138749226
V24,0.2219982718287209
V27,0.20521436640504165
V28,0.19156999543235415
V23,0.18506872502411767
V19,0.1837028455645598
V6,0.18114796335498512
V18,0.1730991610179266
Amount,0.16988695858589442
V25,0.16414649501699097
V13,0.16178778996898724
V16,0.15922262007977825
Time,0.15725489114482402
V10,0.1520176464233292
V9,0.14705365754950198
V2,0.13262663944658026
V1,0.1265520760258238
V17,0.10904421565052463
V21,0.10399175533648854
V20,0.08064443936007355
V7,0.07692599199764155
